Sample,Time measurement (s),Primary load measurement (N),Rising/Falling
1546829,66.161,-500.19855,Falling
1546829,66.261,-498.48257,Rising
,,,
1546830,21.837,-100.87708,Rising
1546830,21.937,-100.88486,Falling
1546830,22.037,-100.8559,Rising
1546830,24.637,-100.25947,Falling
1546830,24.737,-100.25837,Rising
1546830,25.337,-100.15839,Falling
1546830,25.437,-100.11301,Rising
1546830,25.537,-100.11524,Falling
1546830,25.637,-100.09834,Rising
1546830,25.763,-100.08326,Falling
1546830,45.163,-239.08319,Rising
1546830,45.363,-238.98093,Falling
1546830,55.039,-322.33905,Rising
1546830,55.193,-217.78419,Falling
1546830,69.54,-500.31335,Rising
1546830,70.04,-499.81351,Falling
1546830,70.14,-499.68701,Rising
1546830,70.24,-499.7085,Falling
1546830,70.34,-499.5593,Rising
1546830,70.74,-499.39224,Falling
1546830,70.84,-499.29291,Rising
1546830,70.94,-499.34497,Falling
1546830,71.04,-499.31335,Rising
1546830,71.14,-499.32132,Falling
1546830,71.24,-499.31888,Rising
1546830,71.34,-499.3891,Falling
1546830,71.44,-499.3826,Rising
1546830,71.54,-499.48151,Falling
1546830,72.34,-499.86182,Rising
1546830,72.44,-499.94424,Falling
1546830,72.54,-499.89893,Rising
1546830,72.64,-500.05661,Falling
1546830,72.74,-499.99466,Rising
1546830,72.84,-500.1015,Falling
1546830,72.94,-500.08737,Rising
1546830,73.04,-500.18948,Falling
1546830,73.44,-500.25516,Rising
1546830,73.54,-500.27896,Falling
1546830,73.64,-500.20844,Rising
1546830,73.74,-500.24515,Falling
1546830,73.84,-500.18091,Rising
1546830,73.94,-500.23444,Falling
1546830,74.04,-500.16821,Rising
1546830,74.14,-500.19254,Falling
1546830,74.339,-500.19211,Rising
1546830,103.87,-0.68018,Falling
1546830,104.57,-0.74091,Rising
,,,
1546831,21.354,-101.09015,Rising
1546831,21.454,-101.10281,Falling
1546831,21.554,-101.0528,Rising
1546831,21.654,-101.08977,Falling
1546831,21.754,-101.05573,Rising
1546831,22.054,-101.00682,Falling
1546831,22.154,-100.9519,Rising
1546831,22.954,-100.73732,Falling
1546831,23.054,-100.67385,Rising
1546831,24.054,-100.46777,Falling
1546831,24.154,-100.42125,Rising
1546831,25.153,-100.24018,Falling
1546831,25.176,-100.22356,Rising
1546831,25.276,-101.02274,Falling
1546831,41.347,-226.44785,Rising
1546831,41.566,-221.88591,Falling
1546831,61.832,-500.202,Rising
1546831,62.532,-499.53732,Falling
1546831,62.632,-499.52274,Rising
1546831,62.732,-499.55511,Falling
1546831,63.232,-499.77686,Rising
1546831,63.832,-499.69223,Falling
1546831,64.132,-499.77301,Rising
1546831,64.432,-499.7316,Falling
1546831,64.532,-499.70621,Rising
1546831,64.832,-499.70523,Falling
1546831,65.532,-499.91071,Rising
1546831,65.632,-499.95288,Falling
1546831,65.832,-499.95929,Rising
1546831,65.932,-499.95975,Falling
1546831,66.632,-500.17004,Rising
1546831,66.659,-500.19049,Falling
1546831,66.759,-498.54434,Rising
,,,
